Lambda:10,processor number:4,step:0.1,utilization range:[0-4],period range:[1e+04-1e+05]
Scheduling test method:,NC-GEDF-VPR,,,
Utilization,experiment times,success times,success ratio,
0,1000,1000,1,
0.1,1000,995,0.995,
0.2,1000,943,0.943,
0.3,1000,805,0.805,
0.4,1000,671,0.671,
0.5,1000,548,0.548,
0.6,1000,418,0.418,
0.7,1000,336,0.336,
0.8,1000,297,0.297,
0.9,1000,217,0.217,
1,1000,168,0.168,
1.1,1000,130,0.13,
1.2,1000,98,0.098,
1.3,1000,73,0.073,
1.4,1000,52,0.052,
1.5,1000,34,0.034,
1.6,1000,34,0.034,
1.7,1000,22,0.022,
1.8,1000,15,0.015,
1.9,1000,8,0.008,
2,1000,7,0.007,
2.1,1000,5,0.005,
2.2,1000,1,0.001,
2.3,1000,1,0.001,
2.4,1000,3,0.003,
2.5,1000,3,0.003,
2.6,1000,0,0,
2.7,1000,0,0,
2.8,1000,1,0.001,
2.9,1000,0,0,
3,1000,0,0,
3.1,1000,0,0,
3.2,1000,0,0,
3.3,1000,0,0,
3.4,1000,0,0,
3.5,1000,0,0,
3.6,1000,0,0,
3.7,1000,1,0.001,
3.8,1000,0,0,
3.9,1000,0,0,
4,1000,0,0,
